
Gunt Gerätebau GmbH
Fahrenberg 14, Postfach 1125,
22885 Barsbuettel
Germany, Tel ++4940 / 67 08 54 -0

Name:	CE 600

Date:	03.03.2023
Time:	09:50:40
Comment:	Comment Max. 70 Letters                                               

Data Start	
t	T1, Temperature 1	T2, Temperature 2	T3, Temperature 3	T4, Temperature 4	T5, Temperature 5	T6, Temperature 6	T7, Temperature 7	T8, Temperature 8	T9, Temperature 9	T10, Temperature 10	T11, Temperature 11	T12, Temperature 12	T13, Temperature 13	T14, Temperature 14	T15, Temperature 15	T16, Temperature 16	dp, Differential Pressure	Y1, Control Variable Heater	Y2, Control Variable Ratio Volumetric Flow	Y3, Control Variable Volumetric Flow	
h:min:s	degC	degC	degC	degC	degC	degC	degC	degC	degC	degC	degC	degC	degC	degC	degC	degC	mbar	%	%	%	
09:50:39	19.8486	20.4346	18.8965	21.0205	21.4600	21.2402	21.1670	21.3135	21.1670	21.4600	21.5332	21.6797	21.9727	18.6035	11.2061	11.8652	10.1318	0.0000	0.0000	0.0000
09:50:40	19.8486	20.5078	18.8232	21.0205	21.4600	21.0937	21.1670	21.3135	21.2402	21.4600	21.4600	21.7529	21.8262	18.5303	11.3525	11.7187	10.0098	0.0000	0.0000	0.0000
09:50:41	19.8486	20.4346	18.8965	21.0937	21.3135	21.2402	21.0937	21.3135	21.2402	21.4600	21.5332	21.8262	22.0459	18.6035	11.2061	11.7920	10.0098	0.0000	0.0000	0.0000
09:50:42	19.8486	20.5078	18.9697	21.0205	21.3867	21.1670	21.1670	21.3135	21.2402	21.6064	21.3867	21.7529	22.0459	18.6768	11.1328	11.7920	9.8877	0.0000	0.0000	0.0000
09:50:43	19.8486	20.4346	18.8232	21.0937	21.4600	21.2402	21.1670	21.2402	21.2402	21.4600	21.3867	21.8262	21.9727	18.6768	11.2061	11.7187	9.8877	0.0000	0.0000	0.0000
09:50:44	19.8486	20.5078	18.8965	21.0937	21.4600	21.1670	21.1670	21.2402	21.2402	21.4600	21.6064	21.6797	21.8994	18.6035	11.2793	11.6455	10.0098	0.0000	0.0000	0.0000
09:50:45	19.8486	20.5078	18.9697	21.0205	21.4600	21.1670	21.0937	21.2402	21.3867	21.5332	21.4600	21.7529	21.9727	18.6768	11.2793	11.6455	10.0098	0.0000	0.0000	0.0000
09:50:46	19.7754	20.5078	18.8232	21.0937	21.4600	21.1670	21.0937	21.2402	21.0937	21.4600	21.3867	21.8994	21.8994	18.6768	11.1328	11.6455	10.1318	0.0000	0.0000	0.0000
09:50:47	19.7754	20.4346	18.8965	21.1670	21.4600	21.2402	21.2402	21.3135	21.2402	21.3135	21.5332	21.8994	21.8994	18.6035	11.2793	11.5723	9.8877	0.0000	0.0000	0.0000
09:50:48	19.7754	20.4346	18.8965	21.0205	21.3867	21.1670	21.1670	21.3135	21.3135	21.5332	21.3135	21.7529	21.8994	18.6768	11.2793	11.7920	10.1318	0.0000	0.0000	0.0000
09:50:49	19.7754	20.5078	18.8232	21.0937	21.4600	21.2402	21.2402	21.3135	21.4600	21.5332	21.4600	21.6797	21.8994	18.5303	11.2061	11.5723	10.0098	0.0000	0.0000	0.0000
09:50:50	19.8486	20.4346	18.8232	21.0937	21.4600	21.1670	21.1670	21.2402	21.2402	21.6797	21.4600	21.7529	22.0459	18.7500	11.2061	11.6455	10.0098	0.0000	0.0000	0.0000
09:50:51	19.7754	20.5078	18.8232	21.0937	21.4600	21.2402	21.1670	21.2402	21.1670	21.3867	21.3135	21.6797	21.8994	18.6768	11.1328	11.4990	10.0098	0.0000	0.0000	0.0000
09:50:52	19.7754	20.5078	18.8232	21.0205	21.4600	21.2402	21.1670	21.3135	21.2402	21.5332	21.3867	21.6797	22.0459	18.6768	11.2793	11.6455	10.0098	0.0000	0.0000	0.0000
